date,description,category,amount
2026-04-10,Corner cafe,Dining,1898.95
2026-04-10,Bulk dry goods,Groceries,8026.71
2026-04-10,Data add-on,Mobile,1798.35
2026-04-11,Ride home,Transport,1379.66
2026-04-11,Takeaway dinner,Dining,999.03
2026-04-11,Lunch with classmates,Dining,3000.83
2026-04-12,Fast food dinner,Dining,598.55
2026-04-12,Printing and binding,Education,1840.39
2026-04-13,Running shoes,Clothing,2957.45
2026-04-14,Video streaming service,Subscriptions,1590.00
2026-04-15,Fuel top-up,Transport,763.81
2026-04-15,Ride home,Transport,1422.61
2026-04-15,Lunch with classmates,Dining,894.93
2026-04-15,Tea and short eats,Dining,679.02
2026-04-15,Tea and short eats,Dining,3171.59
2026-04-16,Ride home,Transport,993.64
2026-04-17,Music streaming service,Subscriptions,790.00
2026-04-17,Bulk dry goods,Groceries,4366.28
2026-04-18,Lunch with classmates,Dining,2924.55
2026-04-18,Takeaway dinner,Dining,3125.93
2026-04-19,Train ticket,Transport,489.03
2026-04-19,Weekly market run,Groceries,3503.67
2026-04-19,Board game night,Entertainment,1677.67
2026-04-21,Water bill,Utilities,1902.37
2026-04-22,Three-wheeler fare,Transport,1056.28
2026-04-22,Three-wheeler fare,Transport,434.66
2026-04-22,Ride home,Transport,1069.70
2026-04-23,Ride to campus,Transport,1124.19
2026-04-23,Train ticket,Transport,467.83
2026-04-23,Bakery run,Dining,2042.91
2026-04-23,Bulk dry goods,Groceries,4157.72
2026-04-24,Bakery run,Dining,3177.99
2026-04-25,Train ticket,Transport,589.89
2026-04-25,Bus pass top-up,Transport,1099.61
2026-04-26,Weekly market run,Groceries,6006.12
2026-04-27,Train ticket,Transport,390.23
2026-04-27,Fuel top-up,Transport,1023.59
2026-04-27,Board game night,Entertainment,2137.38
2026-04-27,Mobile prepaid top-up,Mobile,1651.51
2026-04-28,Ride home,Transport,613.80
2026-04-28,Fast food dinner,Dining,2678.90
2026-04-29,Code assistant subscription,Subscriptions,3100.00
2026-04-29,Train ticket,Transport,694.03
2026-04-30,Three-wheeler fare,Transport,1332.15
2026-04-30,Bus pass top-up,Transport,1072.54
2026-04-30,Neighbourhood supermarket,Groceries,4204.30
2026-05-01,Monthly rent,Housing,28000.00
2026-05-01,Tea and short eats,Dining,1303.44
2026-05-01,Stationery haul,Education,4354.58
2026-05-02,Bakery run,Dining,1877.59
2026-05-02,Lab consumables,Education,1573.37
2026-05-03,Train ticket,Transport,695.95
2026-05-03,Bus pass top-up,Transport,1340.23
2026-05-03,Ride to campus,Transport,558.04
2026-05-03,Takeaway dinner,Dining,2488.68
2026-05-03,Neighbourhood supermarket,Groceries,5870.58
2026-05-04,Home internet,Utilities,4500.00
2026-05-04,Train ticket,Transport,691.53
2026-05-05,Takeaway dinner,Dining,2253.60
2026-05-06,Cloud file storage,Subscriptions,450.00
2026-05-06,Three-wheeler fare,Transport,505.45
2026-05-06,Corner cafe,Dining,1864.02
2026-05-06,Laundry service,Household,2737.96
2026-05-06,Cinema ticket,Entertainment,1926.43
2026-05-07,Bakery run,Dining,1737.15
2026-05-08,Electricity bill,Utilities,6989.05
2026-05-08,Three-wheeler fare,Transport,1150.06
2026-05-08,Cinema ticket,Entertainment,2805.20
2026-05-09,Ride to campus,Transport,945.71
2026-05-09,Fuel top-up,Transport,525.69
2026-05-09,Tea and short eats,Dining,1284.69
2026-05-09,Light bulbs and batteries,Household,1836.00
2026-05-10,Ride home,Transport,505.02
2026-05-10,Three-wheeler fare,Transport,640.19
2026-05-10,Three-wheeler fare,Transport,521.71
2026-05-11,Fast food dinner,Dining,1472.97
2026-05-11,Bulk dry goods,Groceries,6795.38
2026-05-11,Textbook purchase,Education,3490.50
2026-05-12,Corner cafe,Dining,1694.51
2026-05-12,Fast food dinner,Dining,1249.21
2026-05-12,Vegetable stall,Groceries,5111.37
2026-05-13,Three-wheeler fare,Transport,1443.45
2026-05-13,Corner cafe,Dining,2772.26
2026-05-13,Takeaway dinner,Dining,1047.38
2026-05-14,Video streaming service,Subscriptions,1590.00
2026-05-14,Train ticket,Transport,645.38
2026-05-14,Corner cafe,Dining,1077.24
2026-05-16,Ride home,Transport,1080.63
2026-05-17,Music streaming service,Subscriptions,790.00
2026-05-17,Ride home,Transport,901.87
2026-05-18,Train ticket,Transport,1056.68
2026-05-18,Weekly market run,Groceries,5196.25
2026-05-18,Emergency dental treatment,Healthcare,42000.00
2026-05-19,Tea and short eats,Dining,613.39
2026-05-20,Ride to campus,Transport,933.01
2026-05-20,Ride to campus,Transport,759.28
2026-05-20,Lunch with classmates,Dining,2868.56
2026-05-20,Data add-on,Mobile,1599.79
2026-05-21,Water bill,Utilities,2170.70
2026-05-22,Bus pass top-up,Transport,984.24
2026-05-22,Ride home,Transport,1176.49
2026-05-22,Textbook purchase,Education,1769.29
2026-05-23,Fast food dinner,Dining,867.23
2026-05-23,Neighbourhood supermarket,Groceries,9101.00
2026-05-23,Data add-on,Mobile,1558.96
2026-05-24,Takeaway dinner,Dining,1471.69
2026-05-24,Pharmacy visit,Healthcare,2375.41
2026-05-25,Corner cafe,Dining,2960.34
2026-05-25,Weekly market run,Groceries,3458.02
2026-05-26,Train ticket,Transport,1156.82
2026-05-26,Train ticket,Transport,1066.57
2026-05-26,Bus pass top-up,Transport,502.45
2026-05-26,Corner cafe,Dining,2070.14
2026-05-26,Routine blood test,Healthcare,3965.99
2026-05-27,Vegetable stall,Groceries,6151.80
2026-05-28,Three-wheeler fare,Transport,888.24
2026-05-28,Fast food dinner,Dining,2922.01
2026-05-28,Light bulbs and batteries,Household,1289.53
2026-05-29,Code assistant subscription,Subscriptions,3100.00
2026-05-30,Bus pass top-up,Transport,1308.92
2026-05-30,Three-wheeler fare,Transport,450.26
2026-05-31,Fuel top-up,Transport,603.38
2026-05-31,Corner cafe,Dining,2219.24
2026-05-31,Lunch with classmates,Dining,1556.58
2026-05-31,Bulk dry goods,Groceries,5650.91
2026-06-01,Monthly rent,Housing,28000.00
2026-06-01,Board game night,Entertainment,1198.49
2026-06-01,Stationery haul,Education,3678.67
2026-06-01,Routine blood test,Healthcare,3221.05
2026-06-02,Mobile prepaid top-up,Mobile,1007.07
2026-06-03,Neighbourhood supermarket,Groceries,4526.09
2026-06-03,Lab consumables,Education,5358.33
2026-06-03,Data add-on,Mobile,1244.62
2026-06-03,Tailoring alteration,Clothing,6759.61
2026-06-04,Home internet,Utilities,4500.00
2026-06-04,Takeaway dinner,Dining,2936.84
2026-06-04,Light bulbs and batteries,Household,4330.42
2026-06-05,Bus pass top-up,Transport,1110.47
2026-06-05,Lunch with classmates,Dining,2435.31
2026-06-05,Fast food dinner,Dining,2102.34
2026-06-05,Neighbourhood supermarket,Groceries,5389.69
2026-06-06,Cloud file storage,Subscriptions,450.00
2026-06-06,Three-wheeler fare,Transport,1223.92
2026-06-06,Mobile prepaid top-up,Mobile,1774.92
2026-06-07,Train ticket,Transport,767.62
2026-06-07,Stationery haul,Education,5050.69
2026-06-08,Electricity bill,Utilities,7465.91
2026-06-08,Ride to campus,Transport,1348.39
2026-06-08,Fuel top-up,Transport,769.39
2026-06-09,Ride to campus,Transport,499.11
2026-06-09,Light bulbs and batteries,Household,4360.27
2026-06-09,Laundry service,Household,4309.30
2026-06-10,Bus pass top-up,Transport,517.86
2026-06-10,Bakery run,Dining,3133.15
2026-06-10,Board game night,Entertainment,1758.43
2026-06-11,Takeaway dinner,Dining,2259.69
2026-06-11,Concert ticket,Entertainment,563.68
2026-06-11,Online course fee,Education,5328.57
2026-06-12,Three-wheeler fare,Transport,805.19
2026-06-12,Routine blood test,Healthcare,2667.47
2026-06-12,Graduation dinner for family,Dining,24500.00
2026-06-13,Fuel top-up,Transport,431.41
2026-06-13,Laundry service,Household,3151.98
2026-06-14,Video streaming service,Subscriptions,1590.00
2026-06-14,Bus pass top-up,Transport,675.73
2026-06-14,Bus pass top-up,Transport,527.85
2026-06-14,Fuel top-up,Transport,1413.60
2026-06-14,Corner cafe,Dining,978.99
2026-06-15,Train ticket,Transport,989.17
2026-06-15,Takeaway dinner,Dining,869.40
2026-06-15,Vegetable stall,Groceries,5077.04
2026-06-16,Ride to campus,Transport,513.22
2026-06-16,Bus pass top-up,Transport,1412.49
2026-06-16,Vegetable stall,Groceries,6568.17
2026-06-17,Music streaming service,Subscriptions,790.00
2026-06-17,Fuel top-up,Transport,962.40
2026-06-17,Bus pass top-up,Transport,760.58
2026-06-18,Bakery run,Dining,1747.68
2026-06-18,Bakery run,Dining,1857.14
2026-06-19,Three-wheeler fare,Transport,834.76
2026-06-19,Concert ticket,Entertainment,552.44
2026-06-20,Ride to campus,Transport,343.32
2026-06-20,Fuel top-up,Transport,1333.45
2026-06-20,Corner cafe,Dining,687.14
2026-06-21,Water bill,Utilities,2284.64
2026-06-21,Ride home,Transport,1113.82
2026-06-21,Ride to campus,Transport,593.93
2026-06-21,Ride to campus,Transport,705.05
2026-06-21,Weekly market run,Groceries,6049.66
2026-06-22,Bulk dry goods,Groceries,7948.97
2026-06-22,Neighbourhood supermarket,Groceries,4863.09
2026-06-22,Vegetable stall,Groceries,8233.32
2026-06-22,Routine blood test,Healthcare,2108.34
2026-06-23,Three-wheeler fare,Transport,923.34
2026-06-23,Ride to campus,Transport,1303.01
2026-06-23,Lunch with classmates,Dining,2505.26
2026-06-23,Tea and short eats,Dining,3100.53
2026-06-24,Fuel top-up,Transport,932.90
2026-06-24,Corner cafe,Dining,2580.41
2026-06-24,Bulk dry goods,Groceries,4685.50
2026-06-25,Three-wheeler fare,Transport,1177.82
2026-06-25,Corner cafe,Dining,1972.66
2026-06-25,Bakery run,Dining,1472.73
2026-06-26,Corner cafe,Dining,1814.35
2026-06-26,Light bulbs and batteries,Household,1859.98
2026-06-27,Bakery run,Dining,973.78
2026-06-28,Ride home,Transport,1090.52
2026-06-28,Three-wheeler fare,Transport,327.43
2026-06-28,Ride home,Transport,931.49
2026-06-28,Lunch with classmates,Dining,1216.49
2026-06-28,Takeaway dinner,Dining,1242.94
2026-06-29,Code assistant subscription,Subscriptions,3100.00
2026-06-29,Ride home,Transport,1246.07
2026-06-29,Corner cafe,Dining,1454.72
2026-06-29,Cinema ticket,Entertainment,3480.80
2026-06-30,Train ticket,Transport,821.14
2026-06-30,Tea and short eats,Dining,1974.18
2026-06-30,Bakery run,Dining,1198.13
2026-07-01,Monthly rent,Housing,28000.00
2026-07-02,Three-wheeler fare,Transport,617.66
2026-07-02,Bakery run,Dining,714.64
2026-07-03,Stationery haul,Education,3277.80
2026-07-03,Tailoring alteration,Clothing,4441.03
2026-07-04,Home internet,Utilities,4500.00
2026-07-04,Weekly market run,Groceries,4124.59
2026-07-05,Train ticket,Transport,340.68
2026-07-05,Ride home,Transport,844.29
2026-07-05,Ride home,Transport,400.65
2026-07-05,Fuel top-up,Transport,714.55
2026-07-06,Cloud file storage,Subscriptions,450.00
2026-07-06,Ride home,Transport,1186.76
2026-07-06,Lunch with classmates,Dining,3095.70
2026-07-07,Bus pass top-up,Transport,1108.81
2026-07-08,Electricity bill,Utilities,6397.78
2026-07-08,Ride to campus,Transport,925.35
2026-07-08,Corner cafe,Dining,2832.49
2026-07-08,Fast food dinner,Dining,1022.14
2026-07-08,Cinema ticket,Entertainment,2011.08
2026-07-09,Fast food dinner,Dining,3108.34
2026-07-09,Data add-on,Mobile,1703.26
2026-07-10,Ride to campus,Transport,1181.92
2026-07-10,Ride to campus,Transport,390.12
2026-07-11,Bus pass top-up,Transport,1095.59
2026-07-11,Takeaway dinner,Dining,1665.00
2026-07-11,Bulk dry goods,Groceries,6078.06
2026-07-12,Three-wheeler fare,Transport,857.25
2026-07-12,Cleaning supplies,Household,1833.71
2026-07-13,Fuel top-up,Transport,649.90
2026-07-13,Fuel top-up,Transport,775.18
2026-07-13,Ride to campus,Transport,682.74
2026-07-13,Bakery run,Dining,792.90
2026-07-13,Bulk dry goods,Groceries,4190.65
2026-07-13,Clinic consultation,Healthcare,3819.84
2026-07-14,Video streaming service,Subscriptions,1590.00
2026-07-14,Ride to campus,Transport,1207.44
2026-07-14,Ride home,Transport,690.47
2026-07-14,Three-wheeler fare,Transport,817.47
2026-07-14,Light bulbs and batteries,Household,2528.03
2026-07-14,Routine blood test,Healthcare,2639.02
2026-07-15,Three-wheeler fare,Transport,1161.59
2026-07-15,Fast food dinner,Dining,2616.38
2026-07-15,Routine blood test,Healthcare,797.42
2026-07-16,Train ticket,Transport,843.58
2026-07-17,Music streaming service,Subscriptions,790.00
2026-07-18,Ride home,Transport,827.38
2026-07-18,Train ticket,Transport,492.87
2026-07-18,Ride to campus,Transport,788.94
2026-07-18,Takeaway dinner,Dining,3101.34
2026-07-18,Tea and short eats,Dining,967.08
2026-07-18,Bulk dry goods,Groceries,6588.44
2026-07-18,Weekly market run,Groceries,6025.74
2026-07-19,Data add-on,Mobile,1931.73
2026-07-20,Train ticket,Transport,447.97
2026-07-20,Lunch with classmates,Dining,2713.42
2026-07-20,Online course fee,Education,3506.89
2026-07-21,Water bill,Utilities,2056.59
2026-07-21,Ride to campus,Transport,872.70
2026-07-21,Train ticket,Transport,729.47
2026-07-21,Fast food dinner,Dining,2251.18
2026-07-21,Lunch with classmates,Dining,2883.48
2026-07-21,Weekly market run,Groceries,8556.03
2026-07-22,Corner cafe,Dining,2098.13
2026-07-22,Neighbourhood supermarket,Groceries,5909.62
2026-07-22,Concert ticket,Entertainment,3477.04
2026-07-22,Textbook purchase,Education,5560.08
2026-07-23,Train ticket,Transport,1408.32
2026-07-25,Fuel top-up,Transport,1141.63
2026-07-25,Lunch with classmates,Dining,2198.67
2026-07-26,Three-wheeler fare,Transport,1030.67
2026-07-26,Three-wheeler fare,Transport,1324.31
2026-07-26,Weekly market run,Groceries,8885.84
2026-07-27,Ride to campus,Transport,617.50
2026-07-28,Three-wheeler fare,Transport,461.90
2026-07-28,Printing and binding,Education,1295.33
2026-07-29,Code assistant subscription,Subscriptions,3100.00
2026-07-30,Bakery run,Dining,2680.57
2026-07-30,Airport transfer,Transport,12400.00
2026-07-31,Corner cafe,Dining,2889.81
2026-07-31,Weekly market run,Groceries,9232.84
2026-08-01,Monthly rent,Housing,28000.00
2026-08-01,Tea and short eats,Dining,901.50
2026-08-02,Tea and short eats,Dining,1656.34
2026-08-04,Home internet,Utilities,4500.00
2026-08-05,Three-wheeler fare,Transport,457.68
2026-08-05,Fast food dinner,Dining,1673.19
2026-08-06,Cloud file storage,Subscriptions,450.00
2026-08-06,Bus pass top-up,Transport,1015.65
2026-08-06,Neighbourhood supermarket,Groceries,7776.02
2026-08-06,Pharmacy visit,Healthcare,4353.45
2026-08-07,Train ticket,Transport,1002.44
2026-08-07,Bakery run,Dining,2131.70
2026-08-07,Bakery run,Dining,2923.54
2026-08-07,Printing and binding,Education,4031.25
2026-08-08,Electricity bill,Utilities,5462.58
2026-08-08,Ride to campus,Transport,1091.58
2026-08-08,Ride to campus,Transport,794.27
2026-08-09,Bus pass top-up,Transport,535.68
2026-08-09,Tea and short eats,Dining,1754.34
2026-08-10,Ride to campus,Transport,1353.53
2026-08-10,Bus pass top-up,Transport,855.54
2026-08-10,Bakery run,Dining,2680.12
2026-08-10,Takeaway dinner,Dining,2494.73
2026-08-11,Lunch with classmates,Dining,1448.85
2026-08-12,Fuel top-up,Transport,448.78
2026-08-13,Train ticket,Transport,978.94
2026-08-14,Video streaming service,Subscriptions,1590.00
2026-08-14,Fuel top-up,Transport,1304.70
2026-08-14,Ride to campus,Transport,500.78
2026-08-14,Bakery run,Dining,988.34
2026-08-14,Weekly market run,Groceries,6233.21
2026-08-15,Train ticket,Transport,1309.06
2026-08-15,Kitchen refill,Household,1190.10
2026-08-16,Ride to campus,Transport,519.76
2026-08-16,Bus pass top-up,Transport,921.42
2026-08-16,Bus pass top-up,Transport,745.34
2026-08-16,Corner cafe,Dining,3105.83
2026-08-17,Music streaming service,Subscriptions,790.00
2026-08-17,Corner cafe,Dining,879.53
2026-08-18,Vegetable stall,Groceries,9331.20
2026-08-19,Ride to campus,Transport,523.75
2026-08-19,Corner cafe,Dining,2025.72
2026-08-19,Online course fee,Education,3367.65
2026-08-20,Train ticket,Transport,1084.81
2026-08-20,Three-wheeler fare,Transport,794.04
2026-08-20,Corner cafe,Dining,2205.22
2026-08-20,Bakery run,Dining,2587.35
2026-08-20,Data add-on,Mobile,1904.62
2026-08-21,Water bill,Utilities,1839.29
2026-08-22,Ride home,Transport,1178.33
2026-08-22,Train ticket,Transport,377.20
2026-08-22,Stationery haul,Education,2657.84
2026-08-23,Ride to campus,Transport,783.89
2026-08-23,Three-wheeler fare,Transport,619.95
2026-08-24,Weekly market run,Groceries,4804.19
2026-08-24,Light bulbs and batteries,Household,4169.69
2026-08-24,Data add-on,Mobile,1812.56
2026-08-24,Tailoring alteration,Clothing,8591.45
2026-08-26,Fuel top-up,Transport,1124.77
2026-08-26,Bulk dry goods,Groceries,8734.07
2026-08-26,Neighbourhood supermarket,Groceries,6278.44
2026-08-26,Everyday shirt,Clothing,1607.84
2026-08-27,Bulk dry goods,Groceries,6336.43
2026-08-27,Cleaning supplies,Household,1603.23
2026-08-28,Train ticket,Transport,325.56
2026-08-28,Printing and binding,Education,2224.95
2026-08-29,Code assistant subscription,Subscriptions,3100.00
2026-08-29,Ride to campus,Transport,1274.88
2026-08-29,Fuel top-up,Transport,988.13
2026-08-29,Bulk dry goods,Groceries,6101.57
2026-08-30,Train ticket,Transport,727.70
2026-08-30,Weekly market run,Groceries,8248.86
2026-08-30,Board game night,Entertainment,524.51
2026-08-31,Train ticket,Transport,481.88
2026-08-31,Fuel top-up,Transport,781.23
2026-08-31,Museum entry,Entertainment,2530.33
